,ACCESSION,TAXON_ID,LINEAGE,TITLE,LEAFNAME,CladeLabel
1,NM_001706.5,9606,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Simiiformes', 'Catarrhini', 'Hominoidea', 'Hominidae', 'Homininae', 'Homo', 'Homo sapiens']","Homo sapiens BCL6 transcription repressor (BCL6), transcript variant 1, mRNA",NM_001706_5_Homo_sapiens_BCL6_transcription_repressor_BCL6_transcript_variant_1_mRNA,Euteleostomi
2,NM_009744.5,10090,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Mus', 'Mus', 'Mus musculus']","Mus musculus B cell leukemia/lymphoma 6 (Bcl6), transcript variant 1, mRNA",NM_009744_5_Mus_musculus_B_cell_leukemia_lymphoma_6_Bcl6_transcript_variant_1_mRNA,Euteleostomi
3,NM_001107084.1,10116,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Rattus', 'Rattus norvegicus']","Rattus norvegicus BCL6, transcription repressor (Bcl6), mRNA",NM_001107084_1_Rattus_norvegicus_BCL6_transcription_repressor_Bcl6_mRNA,Euteleostomi
4,XM_021476813.1,7955,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Cypriniphysae', 'Cypriniformes', 'Cyprinoidei', 'Danionidae', 'Danioninae', 'Danio', 'Danio rerio']","PREDICTED: Danio rerio B-cell CLL/lymphoma 6a (zinc finger protein 51) (bcl6a), transcript variant X1, mRNA",XM_021476813_1_PREDICTED_Danio_rerio_B_cell_CLL_lymphoma_6a_zinc_finger_protein_51_bcl6a_transcript_variant_X1_mRNA,Euteleostomi
5,XM_001158812.6,9598,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Simiiformes', 'Catarrhini', 'Hominoidea', 'Hominidae', 'Homininae', 'Pan', 'Pan troglodytes']","PREDICTED: Pan troglodytes BCL6 transcription repressor (BCL6), transcript variant X1, mRNA",XM_001158812_6_PREDICTED_Pan_troglodytes_BCL6_transcription_repressor_BCL6_transcript_variant_X1_mRNA,Euteleostomi
6,NM_001195404.1,9615,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Canidae', 'Canis', 'Canis lupus', 'Canis lupus familiaris']","Canis lupus familiaris BCL6 transcription repressor (BCL6), mRNA",NM_001195404_1_Canis_lupus_familiaris_BCL6_transcription_repressor_BCL6_mRNA,Euteleostomi
7,NM_001206450.1,9913,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos taurus']","Bos taurus B cell CLL/lymphoma 6 (BCL6), mRNA",NM_001206450_1_Bos_taurus_B_cell_CLL_lymphoma_6_BCL6_mRNA,Euteleostomi
8,NM_001261326.2,9544,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Simiiformes', 'Catarrhini', 'Cercopithecoidea', 'Cercopithecidae', 'Cercopithecinae', 'Macaca', 'Macaca mulatta']","Macaca mulatta BCL6 transcription repressor (BCL6), mRNA",NM_001261326_2_Macaca_mulatta_BCL6_transcription_repressor_BCL6_mRNA,Euteleostomi
9,XM_029827596.1,31033,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Eupercaria', 'Tetraodontiformes', 'Tetraodontoidei', 'Tetradontoidea', 'Tetraodontidae', 'Takifugu', 'Takifugu rubripes']","PREDICTED: Takifugu rubripes BCL6 transcription repressor (bcl6), transcript variant X1, mRNA",XM_029827596_1_PREDICTED_Takifugu_rubripes_BCL6_transcription_repressor_bcl6_transcript_variant_X1_mRNA,Euteleostomi
10,XM_001499782.5,9796,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Perissodactyla', 'Equidae', 'Equus', 'Equus caballus']","PREDICTED: Equus caballus B cell CLL/lymphoma 6 (BCL6), transcript variant X2, mRNA",XM_001499782_5_PREDICTED_Equus_caballus_B_cell_CLL_lymphoma_6_BCL6_transcript_variant_X2_mRNA,Euteleostomi
