Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
23269,MGA,MAX dimerization protein MGA,Homo sapiens,human,NM_001400225.1,NP_001387154.1,,curated,RefseqSelect,default-seq
29808,Mga,MAX gene associated,Mus musculus,house mouse,NM_013720.2,NP_038748.2,,curated,RefseqSelect,default-seq
423220,MGA,MAX dimerization protein MGA,Gallus gallus,chicken,XM_025150857.3,XP_025006625.2,,model,,default-seq
453353,MGA,MAX dimerization protein MGA,Pan troglodytes,chimpanzee,XM_009428857.4,XP_009427132.2,,model,,default-seq
478266,MGA,MAX dimerization protein MGA,Canis lupus familiaris,dog,XM_014109419.3,XP_013964894.1,,model,,default-seq
499874,Mga,MAX dimerization protein MGA,Rattus norvegicus,Norway rat,XM_006234797.4,XP_006234859.1,,model,,default-seq
532556,MGA,MAX dimerization protein MGA,Bos taurus,cattle,XM_024997618.2,XP_024853386.1,,model,,default-seq
569620,mgaa,MAX dimerization protein MGA a,Danio rerio,zebrafish,XM_005158619.4,XP_005158676.1,,model,,default-seq
706849,MGA,MAX dimerization protein MGA,Macaca mulatta,Rhesus monkey,XM_015141992.2,XP_014997478.1,,model,,default-seq
100032155,MGA,MAX dimerization protein MGA,Monodelphis domestica,gray short-tailed opossum,XM_056810297.1,XP_056666275.1,,model,,default-seq
100038161,mga,"MGA, MAX dimerization protein",Xenopus tropicalis,tropical clawed frog,XM_012969034.3,XP_012824488.2,,model,,default-seq
100056831,MGA,MAX dimerization protein MGA,Equus caballus,horse,XM_023619441.1,XP_023475209.1,,model,,default-seq
100091699,MGA,MAX dimerization protein MGA,Ornithorhynchus anatinus,platypus,XM_039913861.1,XP_039769795.1,,model,,default-seq
100156980,MGA,MAX dimerization protein MGA,Sus scrofa,pig,XM_021097378.1,XP_020953037.1,,model,,default-seq
100172823,MGA,MAX dimerization protein MGA,Pongo abelii,Sumatran orangutan,XM_024232346.2,XP_024088114.2,,model,,default-seq
100222903,MGA,MAX dimerization protein MGA,Taeniopygia guttata,zebra finch,XM_030274331.3,XP_030130191.3,,model,,default-seq
100342567,MGA,MAX dimerization protein MGA,Oryctolagus cuniculus,rabbit,XM_008269141.3,XP_008267363.1,,model,,default-seq
100401904,MGA,MAX dimerization protein MGA,Callithrix jacchus,white-tufted-ear marmoset,XM_035259730.2,XP_035115621.1,,model,,default-seq
100480151,MGA,MAX dimerization protein MGA,Ailuropoda melanoleuca,giant panda,XM_034661108.1,XP_034516999.1,,model,,default-seq
100563189,mga,MAX dimerization protein MGA,Anolis carolinensis,green anole,XM_008104302.2,XP_008102509.1,,model,,default-seq
100581829,MGA,MAX dimerization protein MGA,Nomascus leucogenys,northern white-cheeked gibbon,XM_030814260.1,XP_030670120.1,,model,,default-seq
100666575,MGA,MAX dimerization protein MGA,Loxodonta africana,African savanna elephant,XM_023558682.1,XP_023414450.1,,model,,default-seq
100701498,mgaa,MAX dimerization protein MGA a,Oreochromis niloticus,Nile tilapia,XM_019348499.2,XP_019204044.1,,model,,default-seq
100720731,Mga,MAX dimerization protein MGA,Cavia porcellus,domestic guinea pig,XM_023567513.1,XP_023423281.1,,model,,default-seq
100761540,Mga,MAX dimerization protein MGA,Cricetulus griseus,Chinese hamster,XM_027422139.2,XP_027277940.1,,model,,default-seq
100914082,MGA,MAX dimerization protein MGA,Sarcophilus harrisii,Tasmanian devil,XM_031952125.1,XP_031807985.1,,model,,default-seq
100961640,MGA,MAX dimerization protein MGA,Otolemur garnettii,small-eared galago,XM_023514264.1,XP_023370032.1,,model,,default-seq
100987736,MGA,MAX dimerization protein MGA,Pan paniscus,pygmy chimpanzee,XM_008951999.4,XP_008950247.2,,model,,default-seq
100998283,MGA,MAX dimerization protein MGA,Papio anubis,olive baboon,XM_021940444.2,XP_021796136.2,,model,,default-seq
101039624,MGA,MAX dimerization protein MGA,Saimiri boliviensis,Bolivian squirrel monkey,XM_039462866.1,XP_039318800.1,,model,,default-seq
101076865,mgaa,MAX dimerization protein MGA a,Takifugu rubripes,torafugu,XM_029832967.1,XP_029688827.1,,model,,default-seq
101084202,MGA,MAX dimerization protein MGA,Felis catus,domestic cat,XM_045059500.1,XP_044915435.1,,model,,default-seq
101114361,MGA,MAX dimerization protein MGA,Ovis aries,sheep,XM_042253008.1,XP_042108942.1,,model,,default-seq
101135617,MGA,MAX dimerization protein MGA,Gorilla gorilla gorilla,western lowland gorilla,XM_031007795.2,XP_030863655.2,,model,,default-seq
101164266,mgaa,MAX dimerization protein MGA a,Oryzias latipes,Japanese medaka,XM_023952039.1,XP_023807807.1,,model,,default-seq
101271683,MGA,MAX dimerization protein MGA,Orcinus orca,killer whale,XM_033435716.2,XP_033291607.1,,model,,default-seq
101334267,MGA,MAX dimerization protein MGA,Tursiops truncatus,common bottlenose dolphin,XM_019935323.2,XP_019790882.1,,model,,default-seq
101353571,LOC101353571,MAX dimerization protein MGA,Trichechus manatus latirostris,Florida manatee,XM_023735144.1,XP_023590912.1,,model,,default-seq
101363621,MGA,MAX dimerization protein MGA,Odobenus rosmarus divergens,Pacific walrus,XM_004400404.2,XP_004400461.1,,model,,default-seq
101398914,LOC101398914,MAX dimerization protein MGA,Ceratotherium simum simum,southern white rhinoceros,XM_014780585.1,XP_014636071.1,,model,,default-seq
101416466,MGA,MAX dimerization protein MGA,Dasypus novemcinctus,nine-banded armadillo,XM_058293959.1,XP_058149942.1,,model,,default-seq
101465247,mgaa,MAX dimerization protein MGA a,Maylandia zebra,zebra mbuna,XM_004569897.4,XP_004569954.1,,model,,default-seq
101525161,MGA,MAX dimerization protein MGA,Ochotona princeps,American pika,XM_058666021.1,XP_058522004.1,,model,,default-seq
101556711,MGA,MAX dimerization protein MGA,Sorex araneus,European shrew,XM_055130552.1,XP_054986527.1,,model,,default-seq
101567113,Mga,MAX dimerization protein MGA,Octodon degus,degu,XM_023711270.1,XP_023567038.1,,model,,default-seq
101616134,Mga,MAX dimerization protein MGA,Jaculus jaculus,lesser Egyptian jerboa,XM_045157275.1,XP_045013210.1,,model,,default-seq
101621666,MGA,MAX dimerization protein MGA,Condylura cristata,star-nosed mole,XM_004687891.2,XP_004687948.1,,model,,default-seq
101640527,MGA,MAX dimerization protein MGA,Echinops telfairi,small Madagascar hedgehog,XM_045288208.1,XP_045144143.1,,model,,default-seq
101691305,MGA,MAX dimerization protein MGA,Mustela putorius furo,domestic ferret,XM_004751155.3,XP_004751212.1,,model,,default-seq
101701209,Mga,MAX dimerization protein MGA,Heterocephalus glaber,naked mole-rat,XM_021241773.1,XP_021097432.1,,model,,default-seq
101804296,MGA,MAX dimerization protein MGA,Anas platyrhynchos,mallard,XM_027457474.2,XP_027313275.1,,model,,default-seq
101816700,MGA,MAX dimerization protein MGA,Ficedula albicollis,Collared flycatcher,XM_005047020.1,XP_005047077.1,,model,,default-seq
101833973,Mga,MAX dimerization protein MGA,Mesocricetus auratus,golden hamster,XM_040746071.1,XP_040602005.1,,model,,default-seq
101872065,LOC101872065,MAX dimerization protein MGA,Melopsittacus undulatus,budgerigar,XM_031044513.2,XP_030900373.2,,model,,default-seq
